message,severity,attributes,tags,timestamp
	at org.apache.catalina.core.ContainerBase.startInternal(ContainerBase.java:749) ~[tomcat-embed-core-10.1.31.jar!/:na],info,"{""level"":""info""}","{""project"":""4c477be5-c4d9-454e-8178-da70b4161364"",""environment"":""5b32e0d8-764c-4be7-9635-d26d34ee1f47"",""service"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deployment"":""6ee7ca22-58a3-4610-8888-114ed284e29d"",""replica"":""f11609ed-5a6a-473f-9676-f9c914d19422""}",2026-05-06T08:41:09.519002108Z
	at java.base/java.util.concurrent.FutureTask.run(Unknown Source) ~[na:na],info,"{""level"":""info""}","{""project"":""4c477be5-c4d9-454e-8178-da70b4161364"",""environment"":""5b32e0d8-764c-4be7-9635-d26d34ee1f47"",""service"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deployment"":""6ee7ca22-58a3-4610-8888-114ed284e29d"",""replica"":""f11609ed-5a6a-473f-9676-f9c914d19422""}",2026-05-06T08:41:09.522391178Z
	at org.apache.tomcat.util.threads.InlineExecutorService.execute(InlineExecutorService.java:75) ~[tomcat-embed-core-10.1.31.jar!/:na],info,"{""level"":""info""}","{""project"":""4c477be5-c4d9-454e-8178-da70b4161364"",""environment"":""5b32e0d8-764c-4be7-9635-d26d34ee1f47"",""service"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deployment"":""6ee7ca22-58a3-4610-8888-114ed284e29d"",""replica"":""f11609ed-5a6a-473f-9676-f9c914d19422""}",2026-05-06T08:41:09.522397996Z
	at java.base/java.util.concurrent.AbstractExecutorService.submit(Unknown Source) ~[na:na],info,"{""level"":""info""}","{""project"":""4c477be5-c4d9-454e-8178-da70b4161364"",""environment"":""5b32e0d8-764c-4be7-9635-d26d34ee1f47"",""service"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deployment"":""6ee7ca22-58a3-4610-8888-114ed284e29d"",""replica"":""f11609ed-5a6a-473f-9676-f9c914d19422""}",2026-05-06T08:41:09.522405032Z
	at org.apache.catalina.core.ContainerBase.startInternal(ContainerBase.java:749) ~[tomcat-embed-core-10.1.31.jar!/:na],info,"{""level"":""info""}","{""project"":""4c477be5-c4d9-454e-8178-da70b4161364"",""environment"":""5b32e0d8-764c-4be7-9635-d26d34ee1f47"",""service"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deployment"":""6ee7ca22-58a3-4610-8888-114ed284e29d"",""replica"":""f11609ed-5a6a-473f-9676-f9c914d19422""}",2026-05-06T08:41:09.522413835Z
	at org.apache.catalina.core.StandardEngine.startInternal(StandardEngine.java:203) ~[tomcat-embed-core-10.1.31.jar!/:na],info,"{""level"":""info""}","{""project"":""4c477be5-c4d9-454e-8178-da70b4161364"",""environment"":""5b32e0d8-764c-4be7-9635-d26d34ee1f47"",""service"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deployment"":""6ee7ca22-58a3-4610-8888-114ed284e29d"",""replica"":""f11609ed-5a6a-473f-9676-f9c914d19422""}",2026-05-06T08:41:09.522421766Z
	at org.apache.catalina.util.LifecycleBase.start(LifecycleBase.java:164) ~[tomcat-embed-core-10.1.31.jar!/:na],info,"{""level"":""info""}","{""project"":""4c477be5-c4d9-454e-8178-da70b4161364"",""environment"":""5b32e0d8-764c-4be7-9635-d26d34ee1f47"",""service"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deployment"":""6ee7ca22-58a3-4610-8888-114ed284e29d"",""replica"":""f11609ed-5a6a-473f-9676-f9c914d19422""}",2026-05-06T08:41:09.522429273Z
	at org.apache.catalina.core.StandardService.startInternal(StandardService.java:415) ~[tomcat-embed-core-10.1.31.jar!/:na],info,"{""level"":""info""}","{""project"":""4c477be5-c4d9-454e-8178-da70b4161364"",""environment"":""5b32e0d8-764c-4be7-9635-d26d34ee1f47"",""service"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deployment"":""6ee7ca22-58a3-4610-8888-114ed284e29d"",""replica"":""f11609ed-5a6a-473f-9676-f9c914d19422""}",2026-05-06T08:41:09.522436743Z
	at org.apache.catalina.util.LifecycleBase.start(LifecycleBase.java:164) ~[tomcat-embed-core-10.1.31.jar!/:na],info,"{""level"":""info""}","{""project"":""4c477be5-c4d9-454e-8178-da70b4161364"",""environment"":""5b32e0d8-764c-4be7-9635-d26d34ee1f47"",""service"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deployment"":""6ee7ca22-58a3-4610-8888-114ed284e29d"",""replica"":""f11609ed-5a6a-473f-9676-f9c914d19422""}",2026-05-06T08:41:09.522451338Z
	at org.apache.catalina.core.StandardServer.startInternal(StandardServer.java:870) ~[tomcat-embed-core-10.1.31.jar!/:na],info,"{""level"":""info""}","{""project"":""4c477be5-c4d9-454e-8178-da70b4161364"",""environment"":""5b32e0d8-764c-4be7-9635-d26d34ee1f47"",""service"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deployment"":""6ee7ca22-58a3-4610-8888-114ed284e29d"",""replica"":""f11609ed-5a6a-473f-9676-f9c914d19422""}",2026-05-06T08:41:09.522457992Z
	at org.apache.catalina.util.LifecycleBase.start(LifecycleBase.java:164) ~[tomcat-embed-core-10.1.31.jar!/:na],info,"{""level"":""info""}","{""project"":""4c477be5-c4d9-454e-8178-da70b4161364"",""environment"":""5b32e0d8-764c-4be7-9635-d26d34ee1f47"",""service"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deployment"":""6ee7ca22-58a3-4610-8888-114ed284e29d"",""replica"":""f11609ed-5a6a-473f-9676-f9c914d19422""}",2026-05-06T08:41:09.522465082Z
	at org.apache.catalina.startup.Tomcat.start(Tomcat.java:437) ~[tomcat-embed-core-10.1.31.jar!/:na],info,"{""level"":""info""}","{""project"":""4c477be5-c4d9-454e-8178-da70b4161364"",""environment"":""5b32e0d8-764c-4be7-9635-d26d34ee1f47"",""service"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deployment"":""6ee7ca22-58a3-4610-8888-114ed284e29d"",""replica"":""f11609ed-5a6a-473f-9676-f9c914d19422""}",2026-05-06T08:41:09.522471719Z
	at org.springframework.boot.web.embedded.tomcat.TomcatWebServer.initialize(TomcatWebServer.java:128) ~[spring-boot-3.3.5.jar!/:3.3.5],info,"{""level"":""info""}","{""project"":""4c477be5-c4d9-454e-8178-da70b4161364"",""environment"":""5b32e0d8-764c-4be7-9635-d26d34ee1f47"",""service"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deployment"":""6ee7ca22-58a3-4610-8888-114ed284e29d"",""replica"":""f11609ed-5a6a-473f-9676-f9c914d19422""}",2026-05-06T08:41:09.522479546Z
